"","GEOID","total","over_200","percent"
"457","06037194102",1556,565,36.3110539845758
"458","06037194200",1701,577,33.9212228101117
"459","06037194300",1489,612,41.1014103425117
"460","06037194401",1274,79,6.20094191522763
"461","06037194402",2054,274,13.3398247322298
"462","06037194500",1021,210,20.5680705190989
"463","06037195100",2079,451,21.6931216931217
"464","06037195201",1591,112,7.03959773727216
"465","06037195202",1471,354,24.0652617267165
"466","06037195300",1531,105,6.85826257348138
"467","06037195400",2305,268,11.6268980477223
"468","06037195500",2330,276,11.8454935622318
"469","06037195600",1182,49,4.14551607445008
"470","06037195710",1337,20,1.49588631264024
"471","06037195720",831,5,0.601684717208183
"472","06037195802",957,16,1.67189132706374
"473","06037195803",1100,92,8.36363636363636
"474","06037195804",1063,0,0
"475","06037195901",1141,66,5.78439964943032
"476","06037195902",975,18,1.84615384615385
"477","06037195903",1012,12,1.18577075098814
"478","06037197200",1141,17,1.48992112182296
"479","06037197300",1775,42,2.36619718309859
"480","06037197410",1738,70,4.02761795166859
"481","06037197420",1245,41,3.29317269076305
"482","06037197500",1449,45,3.1055900621118
"483","06037197600",927,40,4.31499460625674
"484","06037197700",1701,0,0
"485","06037199000",1526,0,0
"486","06037199110",787,0,0
"487","06037199120",993,17,1.71198388721047
"488","06037199201",1163,0,0
"489","06037199202",859,15,1.74621653084983
"490","06037199300",1165,37,3.17596566523605
"491","06037199400",1316,0,0
"492","06037199700",997,9,0.902708124373119
"493","06037199800",1536,0,0
"494","06037199900",768,0,0
"495","06037201110",720,5,0.694444444444444
"496","06037201120",1231,20,1.6246953696182
"497","06037201200",727,0,0
"498","06037201301",983,12,1.22075279755849
"499","06037201302",1878,90,4.79233226837061
"500","06037201401",1385,21,1.51624548736462
"501","06037201402",1327,15,1.13036925395629
"502","06037201501",1503,0,0
"503","06037201503",839,0,0
"504","06037201504",584,35,5.99315068493151
"505","06037201601",643,17,2.64385692068429
"506","06037201602",772,8,1.03626943005181
"507","06037201700",1320,28,2.12121212121212
"508","06037203100",1180,0,0
"509","06037203200",1217,0,0
"510","06037203300",444,0,0
"511","06037203500",920,0,0
"512","06037203600",1320,0,0
"513","06037203710",856,8,0.934579439252336
"514","06037203720",1060,0,0
"515","06037203800",1033,0,0
"516","06037203900",732,23,3.14207650273224
"517","06037204110",798,0,0
"518","06037204120",687,5,0.727802037845706
"519","06037204200",849,0,0
"520","06037204300",1270,11,0.866141732283465
"521","06037204410",580,0,0
"522","06037204420",874,0,0
"523","06037204600",1034,25,2.41779497098646
"524","06037204700",1066,0,0
"525","06037204810",1089,0,0
"526","06037204820",471,0,0
"527","06037204910",755,0,0
"528","06037204920",623,0,0
"529","06037205110",846,0,0
"530","06037205120",933,13,1.39335476956056
"531","06037206010",981,9,0.917431192660551
"532","06037206020",206,0,0
"533","06037206031",1499,60,4.00266844563042
"534","06037206032",1564,0,0
"535","06037206050",719,8,1.11265646731572
"536","06037206200",1430,7,0.48951048951049
"537","06037206300",1954,0,0
"538","06037207101",1161,0,0
"539","06037207102",925,0,0
"540","06037207103",807,6,0.743494423791822
"541","06037207301",3052,20,0.655307994757536
"542","06037207302",2156,63,2.92207792207792
"543","06037207400",15,0,0
"544","06037207501",1353,56,4.13895048041389
"545","06037207502",1741,43,2.46984491671453
"546","06037207710",1553,139,8.95041854475209
"547","06037207900",1931,145,7.50906266183325
"548","06037208000",2245,48,2.1380846325167
"549","06037208301",531,0,0
"550","06037208302",1543,11,0.712896953985742
"551","06037208401",1449,0,0
"552","06037208402",843,0,0
"553","06037208501",842,0,0
"554","06037208502",1264,18,1.42405063291139
"555","06037208610",1316,18,1.3677811550152
"556","06037208620",1685,52,3.08605341246291
"557","06037208710",1865,16,0.857908847184987
"558","06037208720",1503,0,0
"559","06037208801",1163,0,0
"560","06037208802",1389,24,1.72786177105832
"561","06037208902",567,0,0
"562","06037208903",1194,0,0
"563","06037208904",1197,0,0
"564","06037209102",1760,16,0.909090909090909
"565","06037209103",985,0,0
"566","06037209104",803,0,0
"567","06037209200",1133,82,7.23742277140335
"568","06037209300",1879,14,0.745077168706759
"569","06037209401",1322,0,0
"570","06037209402",1106,0,0
"571","06037209403",1257,0,0
"572","06037209510",922,0,0
"573","06037209520",900,20,2.22222222222222
"574","06037209810",688,0,0
"575","06037209820",758,0,0
"576","06037210010",1192,0,0
"577","06037211000",1686,657,38.9679715302491
"578","06037211120",2395,0,0
"579","06037211121",895,0,0
"580","06037211122",1192,0,0
"581","06037211201",923,21,2.27518959913326
"582","06037211202",933,0,0
"583","06037211310",1313,0,0
"584","06037211320",1241,0,0
"585","06037211410",1162,46,3.95869191049914
"586","06037211420",1261,11,0.872323552735924
"587","06037211500",1846,272,14.7345612134345
"588","06037211701",1092,122,11.1721611721612
"589","06037211703",2025,0,0
"590","06037211704",1597,0,0
"591","06037211802",2158,0,0
"592","06037211803",1646,0,0
"593","06037211804",1335,15,1.12359550561798
"594","06037211910",1688,0,0
"595","06037211921",965,0,0
"596","06037211922",1333,28,2.10052513128282
